t,Xd_x,Xd_y,Xd_z,Xd_dot_x,Xd_dot_y,Xd_dot_z,Xd_ddot_x,Xd_ddot_y,Xd_ddot_z,X_x,X_y,X_z,Xdot_x,Xdot_y,Xdot_z,Qd_x,Qd_y,Qd_z,Qd_w,Q_x,Q_y,Q_z,Q_w,omega_x,omega_y,omega_z
4.036221599999408,-0.11519218791024327,-0.14660720053840093,0.7159757849436984,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,0.000897528559968588,-0.23544998417550445,1.09169957908361,0.0,0.0,0.0,0.8788170139043618,7.796650260769695e-08,7.796655356582392e-08,0.4771589421484299,0.7071064042731856,0.00045394271129715706,-0.00044164420170688615,0.7071068744696662,0.0,0.0,0.0
4.253127500000119,-0.11983040043532409,-0.14302995684775544,0.7008472971185384,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,0.000940095312939429,-0.23544998254806665,1.0916995346698641,0.00019632362900829777,7.689091444308167e-09,-2.095822207969729e-07,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.7071063901205992,0.0004754594588273425,-0.00046250891444576855,0.7071068611422335,-5.22393827543022e-09,0.00027643502585200983,4.252838240625945e-06
4.256333000001177,-0.11989862460210321,-0.1429773386313972,0.7006247699120082,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,0.0009832315040423376,-0.2354499808099525,1.091699487569172,0.01376965233357725,5.679558437160594e-07,-1.5372017492073285e-05,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.7071063751109591,0.000497262954217202,-0.0004836459414709607,0.7071068470136584,-3.85108104856137e-07,0.01938490230899546,0.00030086167580569627
4.262785999999323,-0.12004402306693675,-0.14286519936694073,0.7001505227978156,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,0.001071235064232513,-0.23544997698312992,1.0916993849460261,0.012719114704651256,5.781316301347249e-07,-1.5466694489825946e-05,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.7071063424051459,0.000541741715022841,-0.0005267478823989452,0.7071068162470217,-3.9144675566238586e-07,0.01790112001223488,0.0002814103654815196
4.318814800000837,-0.12123470918179992,-0.14194687698112912,0.6962668541873566,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,0.0011161173240802718,-0.23544997488459418,1.0916993292331412,0.0008082888356342881,3.861406896503075e-08,-1.0239017944965601e-06,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.7071063246481076,0.0005644244723211082,-0.0005487199095368485,0.7071067995530244,-2.6043453157992654e-08,0.0011372999124196301,1.8101020923084166e-05
4.433659700000135,-0.12369081768086324,-0.1400525915027676,0.68825574919283,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.09729321676308708,-0.21836062465955414,1.0810998216420327,-0.8205160248243863,0.29608186798679875,-0.18400879294726807,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.7127809607603824,-0.00917600331266215,0.009675376547469043,0.7012599304319168,0.27892564505211287,-0.27337850811007947,-0.007535956407720697
4.521194000000833,-0.1255174558549011,-0.13864378803638153,0.6822977916332154,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.08488788750424311,-0.2234639053413267,1.084930139827171,0.14358644709666252,-0.053653614625377995,0.0385447898857586,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.7099286919349805,-0.016545654532089966,0.016385420316513934,0.7038884937862271,-0.07565174526001968,-0.2303620894302426,-0.014374346691057617
4.6304611999985354,-0.1276207540284917,-0.13702160921634304,0.6754374503617053,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.13846250423643736,-0.1993258204559692,1.0755142492768461,-0.46255004101063135,0.275845595992421,-0.10691945520433367,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.7056118746282116,-0.0002567913560780202,0.0020165863380326122,0.7085956179806656,-0.20025115052430448,0.4163254543717313,0.016712144979853908
4.733446300000651,-0.12960311764321833,-0.13549270175576428,0.6689715621238849,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.1566977350958622,-0.1911820725857517,1.0740105505400435,-0.1753341897673556,0.08234983654090201,-0.015851354884892834,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.7009025032575023,-0.003633787494333199,0.004548508471463506,0.71323333319924,-0.13559054679105897,-0.07865460994745421,-0.013870604259624258
4.818812400000752,-0.1312474800313922,-0.13422447936482776,0.6636081346752459,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.1842270714506882,-0.1665767568655397,1.0646246123788505,-0.2994923812607172,0.31410742220260973,-0.12340726458092097,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.6910437757264714,-0.02399698379129684,0.02594989813610798,0.721948230543817,-0.3620154656955169,-0.6651562504215818,0.02004619191567175
4.926354300001549,-0.1333160170498742,-0.1326291102526497,0.6568611740884297,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.2015964396234987,-0.14926611064607886,1.0586993608437107,-0.15462962910338404,0.16871074710921774,-0.05826748268856031,0.902585204626185,7.03443960045224e-08,7.034444198091669e-08,0.43051126395240574,0.6800249893358524,-0.06140393664479359,0.06496374398950112,0.7277192332281471,-0.2407191458939933,-0.9972336510634812,0.04201137675016087
5.030753700000787,-0.1353252676289239,-0.13107946609167925,0.6503075884649854,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.21639575240217612,-0.13005551688385125,1.0513577792169881,-0.1331391197937225,0.1910538218072167,-0.0741975314890521,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.6678952765320729,-0.08465167178527538,0.09062669979713071,0.7338506628286061,-0.2673705952288694,-0.6540025989329452,0.036286378634891044
5.131290099998296,-0.13726034567910206,-0.1295870278499051,0.6439959318592234,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.23088609425005527,-0.10378154296976608,1.0405661515817468,-0.1281287142283089,0.2706522139159199,-0.11449321048651726,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.6470422234999597,-0.1229381667647123,0.13483753899234002,0.7402981873807669,-0.42524739543395973,-1.14607413849094,0.1023236091988071
5.2228050000012445,-0.13902183352717257,-0.12822847188538533,0.6382504755396604,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.2445255204927622,-0.07744457611338934,1.0302352312755159,-0.13375426442481214,0.2962537471724004,-0.11858644409138681,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.6256572457107512,-0.14949062154127168,0.16798002078961038,0.7469861294404088,-0.47598506017562436,-0.9178858308103512,0.09192902879197261
5.326428799999121,-0.14101642706321688,-0.12669013203924115,0.63174469688829,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.25344757787683303,-0.05042125379839013,1.0185085565263252,-0.07196989613722232,0.2656613449954722,-0.11854157638738683,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.6011279472597996,-0.1757438132441398,0.2038230737630476,0.7524728950144396,-0.4577865028366928,-0.8481283111126443,0.12102878163880984
5.417364100001578,-0.14276690528748778,-0.12534006729996394,0.6260351507299609,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.2609392934429209,-0.02459601511809785,1.0075467528446749,-0.06894945114660976,0.2879937491556874,-0.12511508110790898,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.5787420522059883,-0.19106417301987894,0.22802563719798036,0.759313128805953,-0.5015146844492471,-0.6224473021246341,0.08567562293204742
5.519936000000598,-0.1447060253324562,-0.1238445116502912,0.6197103103236198,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.26496156269865334,0.007630765924223112,0.9921982654662931,-0.020458445311358736,0.31713503636674073,-0.15675074182637583,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.5492758242285861,-0.2068292777532427,0.2576169112539288,0.7675618840315512,-0.5886584802271465,-0.6305279257678047,0.12129567807873601
5.629431500001374,-0.14662213207898073,-0.12236670511759275,0.6134605325418226,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.26945614060612216,0.033283535112050844,0.9798183330165319,-0.031115541948360977,0.23545248225956555,-0.11669402272318985,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.5268279023074985,-0.21394959167790778,0.2720271300092376,0.776324142423817,-0.4322816786419541,-0.2989843032525576,0.005093749842589007
5.7277305999996315,-0.148342151335393,-0.12104013200359291,0.6078503345961775,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.2718448354591195,0.060223301134124566,0.9607796212878136,-0.011137036604824756,0.2728267288368306,-0.20149050474216446,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.49816021786394193,-0.22226933721487593,0.2941362482730197,0.7848035464520291,-0.6061690074091464,-0.4625375593529535,0.09153262971523227
5.831214199999522,-0.15015277076727654,-0.11964368306904291,0.601944625471568,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.2774331222836074,0.08466313166146192,0.9403442171708515,-0.04483184994812256,0.23387459504892774,-0.20464164319274394,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.47107196108709226,-0.2269612827925744,0.30742021167506317,0.7950299346844555,-0.5475419207778188,-0.29421227553323226,-0.01936707417641431
5.9173755000010715,-0.15166025983890227,-0.1184810248809953,0.5970276386057592,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.2808985132037211,0.10297222823264071,0.9217379361029802,-0.033643416909435536,0.20949707683086272,-0.22183219975605695,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.44734017664230913,-0.231008511015744,0.32345186716547275,0.8011870716799454,-0.5666684780489658,-0.3741279427938112,0.0837574662966297
6.025136500000372,-0.1535459431381887,-0.117026682578125,0.5908770931788085,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.28601841087290714,0.12118511698780937,0.897965488955953,-0.04180687272468074,0.16456586663026762,-0.22703635668624,0.9238794699817858,6.252948014106398e-08,6.252952100970732e-08,0.38268358332461405,0.42142040159212474,-0.23385180054286261,0.33426630510565264,0.8099285263378542,-0.49085233688925617,-0.24328884156671293,-0.027665516212736642
6.124873699998716,-0.15529112949887056,-0.11568069921406147,0.585184807526212,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.28997332132499903,0.133504116696537,0.8806629825776502,-0.03692095201191023,0.12084099070170311,-0.17675309162236158,0.9426414438214109,5.4543175176316466e-08,5.454321082519069e-08,0.33380699272226133,0.4017261473178325,-0.23626412441039488,0.346721705239283,0.8139898188513934,-0.39844807281203554,-0.25332936498853936,0.06279449438401699
6.229773600000044,-0.15712649083817998,-0.11426516796455606,0.5791983975619494,-0.1924759414976343,0.14844799448069032,-0.6278000246511816,0.0,0.0,0.0,-0.2951390672817668,0.14881724435390342,0.8508526720858234,-0.04333789274723768,0.13865327257850826,-0.2917883511164203,0.9426414438214109,5.4543175176316466e-08,5.454321082519069e-08,0.33380699272226133,0.37302349888528114,-0.23861886981843286,0.35787506784835166,0.8220948485780059,-0.5446096670904438,-0.2709425996603258,-0.029114706412470936
